"Plot Title: HOBO_Flume3_20240630"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 20454822, SEN S/N: 20454822)","Host Connected (LGR S/N: 20454822)","Coupler Attached (LGR S/N: 20454822)","Stopped (LGR S/N: 20454822)","End Of File (LGR S/N: 20454822)"
1,06/30/24 12:30:00 PM,27.567,,,,
2,06/30/24 12:35:00 PM,27.567,,,,
3,06/30/24 12:40:00 PM,27.567,,,,
4,06/30/24 12:45:00 PM,27.567,,,,
5,06/30/24 12:50:00 PM,27.567,,,,
6,06/30/24 12:55:00 PM,27.567,,,,
7,06/30/24 01:00:00 PM,27.567,,,,
8,06/30/24 01:05:00 PM,27.567,,,,
9,06/30/24 01:10:00 PM,27.567,,,,
10,06/30/24 01:15:00 PM,27.567,,,,
11,06/30/24 01:20:00 PM,27.567,,,,
12,06/30/24 01:25:00 PM,27.567,,,,
13,06/30/24 01:30:00 PM,27.468,,,,
14,06/30/24 01:35:00 PM,27.468,,,,
15,06/30/24 01:40:00 PM,27.468,,,,
16,06/30/24 01:45:00 PM,27.468,,,,
17,06/30/24 01:50:00 PM,27.468,,,,
18,06/30/24 01:55:00 PM,27.468,,,,
19,06/30/24 02:00:00 PM,27.468,,,,
20,06/30/24 02:05:00 PM,27.468,,,,
21,06/30/24 02:10:00 PM,27.370,,,,
22,06/30/24 02:15:00 PM,27.370,,,,
23,06/30/24 02:20:00 PM,27.370,,,,
24,06/30/24 02:25:00 PM,27.370,,,,
25,06/30/24 02:30:00 PM,27.370,,,,
26,06/30/24 02:35:00 PM,27.370,,,,
27,06/30/24 02:40:00 PM,27.370,,,,
28,06/30/24 02:45:00 PM,27.370,,,,
29,06/30/24 02:50:00 PM,27.370,,,,
30,06/30/24 02:55:00 PM,27.370,,,,
31,06/30/24 03:00:00 PM,27.272,,,,
32,06/30/24 03:05:00 PM,27.370,,,,
33,06/30/24 03:10:00 PM,27.272,,,,
34,06/30/24 03:15:00 PM,27.272,,,,
35,06/30/24 03:20:00 PM,27.272,,,,
36,06/30/24 03:25:00 PM,27.272,,,,
37,06/30/24 03:30:00 PM,27.272,,,,
38,06/30/24 03:35:00 PM,27.272,,,,
39,06/30/24 03:40:00 PM,27.272,,,,
40,06/30/24 03:45:00 PM,27.272,,,,
41,06/30/24 03:50:00 PM,27.272,,,,
42,06/30/24 03:55:00 PM,27.272,,,,
43,06/30/24 04:00:00 PM,27.272,,,,
44,06/30/24 04:05:00 PM,27.272,,,,
45,06/30/24 04:10:00 PM,27.272,,,,
46,06/30/24 04:15:00 PM,27.272,,,,
47,06/30/24 04:20:00 PM,27.272,,,,
48,06/30/24 04:25:00 PM,27.272,,,,
49,06/30/24 04:30:00 PM,27.173,,,,
50,06/30/24 04:35:00 PM,27.272,,,,
51,06/30/24 04:40:00 PM,27.173,,,,
52,06/30/24 04:45:00 PM,27.173,,,,
53,06/30/24 04:50:00 PM,27.173,,,,
54,06/30/24 04:55:00 PM,27.173,,,,
55,06/30/24 05:00:00 PM,27.173,,,,
56,06/30/24 05:05:00 PM,27.173,,,,
57,06/30/24 05:10:00 PM,27.173,,,,
58,06/30/24 05:15:00 PM,27.173,,,,
59,06/30/24 05:20:00 PM,27.173,,,,
60,06/30/24 05:25:00 PM,27.173,,,,
61,06/30/24 05:30:00 PM,27.173,,,,
62,06/30/24 05:35:00 PM,27.173,,,,
63,06/30/24 05:40:00 PM,27.173,,,,
64,06/30/24 05:45:00 PM,27.173,,,,
65,06/30/24 05:50:00 PM,27.173,,,,
66,06/30/24 05:55:00 PM,27.173,,,,
67,06/30/24 06:00:00 PM,27.173,,,,
68,06/30/24 06:05:00 PM,27.173,,,,
69,06/30/24 06:10:00 PM,27.173,,,,
70,06/30/24 06:15:00 PM,27.173,,,,
71,06/30/24 06:20:00 PM,27.173,,,,
72,06/30/24 06:25:00 PM,27.173,,,,
73,06/30/24 06:30:00 PM,27.173,,,,
74,06/30/24 06:35:00 PM,27.173,,,,
75,06/30/24 06:40:00 PM,27.173,,,,
76,06/30/24 06:45:00 PM,27.173,,,,
77,06/30/24 06:50:00 PM,27.173,,,,
78,06/30/24 06:55:00 PM,27.173,,,,
79,06/30/24 07:00:00 PM,27.173,,,,
80,06/30/24 07:05:00 PM,27.173,,,,
81,06/30/24 07:10:00 PM,27.075,,,,
82,06/30/24 07:15:00 PM,27.075,,,,
83,06/30/24 07:20:00 PM,27.173,,,,
84,06/30/24 07:25:00 PM,27.075,,,,
85,06/30/24 07:30:00 PM,27.075,,,,
86,06/30/24 07:35:00 PM,27.075,,,,
87,06/30/24 07:40:00 PM,27.075,,,,
88,06/30/24 07:45:00 PM,27.075,,,,
89,06/30/24 07:50:00 PM,27.075,,,,
90,06/30/24 07:55:00 PM,27.075,,,,
91,06/30/24 08:00:00 PM,27.075,,,,
92,06/30/24 08:05:00 PM,27.075,,,,
93,06/30/24 08:10:00 PM,27.075,,,,
94,06/30/24 08:15:00 PM,27.075,,,,
