Plot Title: HOBO_Flume4_20240821,,,,,,
#,"Date Time, GMT-03:00","Temp, ¡C (LGR S/N: 1058712, SEN S/N: 1058712)",Coupler Attached (LGR S/N: 1058712),Host Connected (LGR S/N: 1058712),Stopped (LGR S/N: 1058712),End Of File (LGR S/N: 1058712)
1,08/22/24 08:00:00  AM,25.61,,,,
2,08/22/24 08:05:00  AM,25.61,,,,
3,08/22/24 08:10:00  AM,25.708,,,,
4,08/22/24 08:15:00  AM,25.708,,,,
5,08/22/24 08:20:00  AM,25.708,,,,
6,08/22/24 08:25:00  AM,25.805,,,,
7,08/22/24 08:30:00  AM,25.805,,,,
8,08/22/24 08:35:00  AM,25.805,,,,
9,08/22/24 08:40:00  AM,25.805,,,,
10,08/22/24 08:45:00  AM,25.805,,,,
11,08/22/24 08:50:00  AM,25.805,,,,
12,08/22/24 08:55:00  AM,25.708,,,,
13,08/22/24 09:00:00  AM,25.708,,,,
14,08/22/24 09:05:00  AM,25.708,,,,
15,08/22/24 09:10:00  AM,25.708,,,,
16,08/22/24 09:15:00  AM,25.61,,,,
17,08/22/24 09:20:00  AM,25.61,,,,
18,08/22/24 09:25:00  AM,25.513,,,,
19,08/22/24 09:30:00  AM,25.513,,,,
20,08/22/24 09:35:00  AM,25.513,,,,
21,08/22/24 09:40:00  AM,25.416,,,,
22,08/22/24 09:45:00  AM,25.416,,,,
23,08/22/24 09:50:00  AM,25.319,,,,
24,08/22/24 09:55:00  AM,25.319,,,,
25,08/22/24 10:00:00  AM,25.319,,,,
26,08/22/24 10:05:00  AM,25.319,,,,
27,08/22/24 10:10:00  AM,25.319,,,,
28,08/22/24 10:15:00  AM,25.319,,,,
29,08/22/24 10:20:00  AM,25.319,,,,
30,08/22/24 10:25:00  AM,25.319,,,,
31,08/22/24 10:30:00  AM,25.319,,,,
32,08/22/24 10:35:00  AM,25.319,,,,
33,08/22/24 10:40:00  AM,25.416,,,,
34,08/22/24 10:45:00  AM,25.416,,,,
35,08/22/24 10:50:00  AM,25.513,,,,
36,08/22/24 10:55:00  AM,25.513,,,,
37,08/22/24 11:00:00  AM,25.61,,,,
38,08/22/24 11:05:00  AM,25.61,,,,
39,08/22/24 11:10:00  AM,25.708,,,,
40,08/22/24 11:15:00  AM,25.708,,,,
41,08/22/24 11:20:00  AM,25.805,,,,
42,08/22/24 11:25:00  AM,25.805,,,,
43,08/22/24 11:30:00  AM,25.902,,,,
44,08/22/24 11:35:00  AM,25.902,,,,
45,08/22/24 11:40:00  AM,25.902,,,,
46,08/22/24 11:45:00  AM,25.902,,,,
47,08/22/24 11:50:00  AM,25.902,,,,
48,08/22/24 11:55:00  AM,25.902,,,,
49,08/22/24 12:00:00  PM,25.902,,,,
50,08/22/24 12:05:00  PM,26,,,,
51,08/22/24 12:10:00  PM,26,,,,
