Plot Title: HOBO_Flume2_20240819,,,,,,
#,"Date Time, GMT-03:00","Temp, ¡C (LGR S/N: 1058707, SEN S/N: 1058707)",Host Connected (LGR S/N: 1058707),Coupler Attached (LGR S/N: 1058707),Stopped (LGR S/N: 1058707),End Of File (LGR S/N: 1058707)
1,08/19/24 05:15:00  PM,28.06,,,,
2,08/19/24 05:20:00  PM,28.06,,,,
3,08/19/24 05:25:00  PM,27.961,,,,
4,08/19/24 05:30:00  PM,27.961,,,,
5,08/19/24 05:35:00  PM,27.862,,,,
6,08/19/24 05:40:00  PM,27.862,,,,
7,08/19/24 05:45:00  PM,27.764,,,,
8,08/19/24 05:50:00  PM,27.665,,,,
9,08/19/24 05:55:00  PM,27.665,,,,
10,08/19/24 06:00:00  PM,27.567,,,,
11,08/19/24 06:05:00  PM,27.567,,,,
12,08/19/24 06:10:00  PM,27.468,,,,
13,08/19/24 06:15:00  PM,27.37,,,,
14,08/19/24 06:20:00  PM,27.37,,,,
15,08/19/24 06:25:00  PM,27.272,,,,
16,08/19/24 06:30:00  PM,27.272,,,,
17,08/19/24 06:35:00  PM,27.173,,,,
18,08/19/24 06:40:00  PM,27.173,,,,
19,08/19/24 06:45:00  PM,27.075,,,,
20,08/19/24 06:50:00  PM,26.977,,,,
21,08/19/24 06:55:00  PM,26.977,,,,
22,08/19/24 07:00:00  PM,26.879,,,,
23,08/19/24 07:05:00  PM,26.781,,,,
24,08/19/24 07:10:00  PM,26.781,,,,
25,08/19/24 07:15:00  PM,26.683,,,,
26,08/19/24 07:20:00  PM,26.585,,,,
27,08/19/24 07:25:00  PM,26.585,,,,
28,08/19/24 07:30:00  PM,26.488,,,,
29,08/19/24 07:35:00  PM,26.488,,,,
30,08/19/24 07:40:00  PM,26.39,,,,
31,08/19/24 07:45:00  PM,26.292,,,,
32,08/19/24 07:50:00  PM,26.292,,,,
33,08/19/24 07:55:00  PM,26.195,,,,
34,08/19/24 08:00:00  PM,26.195,,,,
35,08/19/24 08:05:00  PM,26,,,,
36,08/19/24 08:10:00  PM,25.902,,,,
37,08/19/24 08:15:00  PM,25.805,,,,
38,08/19/24 08:20:00  PM,25.708,,,,
39,08/19/24 08:25:00  PM,25.513,,,,
40,08/19/24 08:30:00  PM,25.416,,,,
41,08/19/24 08:35:00  PM,25.319,,,,
42,08/19/24 08:40:00  PM,25.222,,,,
43,08/19/24 08:45:00  PM,25.125,,,,
44,08/19/24 08:50:00  PM,25.028,,,,
45,08/19/24 08:55:00  PM,24.931,,,,
46,08/19/24 09:00:00  PM,24.835,,,,
47,08/19/24 09:05:00  PM,24.835,,,,
48,08/19/24 09:10:00  PM,24.738,,,,
49,08/19/24 09:15:00  PM,24.738,,,,
