"Plot Title: HOBO_Flume3_20240624"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 20454822, SEN S/N: 20454822)","Coupler Attached (LGR S/N: 20454822)","Host Connected (LGR S/N: 20454822)","Stopped (LGR S/N: 20454822)","End Of File (LGR S/N: 20454822)"
1,06/24/24 04:00:00 PM,26.195,,,,
2,06/24/24 04:05:00 PM,26.097,,,,
3,06/24/24 04:10:00 PM,26.097,,,,
4,06/24/24 04:15:00 PM,26.000,,,,
5,06/24/24 04:20:00 PM,25.902,,,,
6,06/24/24 04:25:00 PM,25.805,,,,
7,06/24/24 04:30:00 PM,25.805,,,,
8,06/24/24 04:35:00 PM,25.708,,,,
9,06/24/24 04:40:00 PM,25.610,,,,
10,06/24/24 04:45:00 PM,25.610,,,,
11,06/24/24 04:50:00 PM,25.513,,,,
12,06/24/24 04:55:00 PM,25.513,,,,
13,06/24/24 05:00:00 PM,25.513,,,,
14,06/24/24 05:05:00 PM,25.416,,,,
15,06/24/24 05:10:00 PM,25.416,,,,
16,06/24/24 05:15:00 PM,25.416,,,,
17,06/24/24 05:20:00 PM,25.416,,,,
18,06/24/24 05:25:00 PM,25.416,,,,
19,06/24/24 05:30:00 PM,25.416,,,,
20,06/24/24 05:35:00 PM,25.416,,,,
21,06/24/24 05:40:00 PM,25.416,,,,
22,06/24/24 05:45:00 PM,25.416,,,,
23,06/24/24 05:50:00 PM,25.416,,,,
24,06/24/24 05:55:00 PM,25.416,,,,
25,06/24/24 06:00:00 PM,25.416,,,,
26,06/24/24 06:05:00 PM,25.513,,,,
27,06/24/24 06:10:00 PM,25.513,,,,
28,06/24/24 06:15:00 PM,25.610,,,,
29,06/24/24 06:20:00 PM,25.708,,,,
30,06/24/24 06:25:00 PM,25.708,,,,
31,06/24/24 06:30:00 PM,25.708,,,,
32,06/24/24 06:35:00 PM,25.805,,,,
33,06/24/24 06:40:00 PM,25.805,,,,
34,06/24/24 06:45:00 PM,25.902,,,,
35,06/24/24 06:50:00 PM,25.902,,,,
36,06/24/24 06:55:00 PM,25.902,,,,
37,06/24/24 07:00:00 PM,26.000,,,,
38,06/24/24 07:05:00 PM,26.000,,,,
39,06/24/24 07:10:00 PM,26.000,,,,
40,06/24/24 07:15:00 PM,26.000,,,,
41,06/24/24 07:20:00 PM,26.000,,,,
42,06/24/24 07:25:00 PM,26.097,,,,
43,06/24/24 07:30:00 PM,26.097,,,,
44,06/24/24 07:35:00 PM,26.097,,,,
45,06/24/24 07:40:00 PM,26.097,,,,
46,06/24/24 07:45:00 PM,26.000,,,,
47,06/24/24 07:50:00 PM,26.000,,,,
48,06/24/24 07:55:00 PM,26.000,,,,
49,06/24/24 08:00:00 PM,26.000,,,,
50,06/24/24 08:05:00 PM,25.902,,,,
51,06/24/24 08:10:00 PM,25.902,,,,
52,06/24/24 08:15:00 PM,25.902,,,,
53,06/24/24 08:20:00 PM,25.805,,,,
54,06/24/24 08:25:00 PM,25.805,,,,
55,06/24/24 08:30:00 PM,25.708,,,,
56,06/24/24 08:35:00 PM,25.708,,,,
57,06/24/24 08:40:00 PM,25.708,,,,
58,06/24/24 08:45:00 PM,25.708,,,,
59,06/24/24 08:50:00 PM,25.708,,,,
60,06/24/24 08:55:00 PM,25.708,,,,
61,06/24/24 09:00:00 PM,25.708,,,,
62,06/24/24 09:05:00 PM,25.708,,,,
63,06/24/24 09:10:00 PM,25.708,,,,
